id,category,sentiment,tweet_text
2573,Borderlands,Negative,This cricket has been the worst hivemind of fandom I have done this more times than I would love to be better if the Tarzan level in Kingdom Hearts is as bad as Borderlands.
2573,Borderlands,Negative,This cricket was the worst hive of fandom I've done more times than I'd like to if the Tarzan level in Kingdom Hearts was as bad as Borderlands.
2573,Borderlands,Negative,That cricket was the worst fennel fennel I've done more times than I'd like if Tarzan's level in the Kingdom of Hearts was as bad as Borderlands's.
2573,Borderlands,Negative,This cricket has been the worst hivemind of fandom I have said this more times than I would love to be counting if the Tarzan level in Kingdom Hearts is as strong as Borderlands.
2573,Borderlands,Negative,This cricket has been dubbed the worst single hivemind of game fandom I have certainly done this more times more than I or would love to be better if the Tarzan level in Kingdom Hearts is as bad there as Borderlands.
2573,Borderlands,Negative,This cricket already been the worst hivemind for fandom who have done this more times than I would love to be better if the Tarzan level in Eight Hearts is as bad with mine.
5332,Hearthstone,Negative,Noah Nothing new today. New rank at Royal Hearthstone. I played CS like everyday. I played Cricket Clash against Royale like everyday. So I was played Brawl for Stars like almost everyday. Jesus God how my life is so sad and boring.
5492,Hearthstone,Irrelevant,"21 As of today, i'm no longer part of Cricket @gaming_divided. I thank the org and my own teammates @SMOrcBE @PoieszTristan @RutgerTummers and our dreadhead Team for making the very amazing times. Wishing every and single lucky one of them the best moving game forward!!!"
11618,Verizon,Negative,"So AT&T, Sprint, T-mobile and Cricket are giving wifi access and uncapping wifi data during this national crisis @verizon are no where to been found. I will think twice about having them fire my provider"
11908,Verizon,Negative,"BREAKING: Major Cell Outages & Issues Reported across US.. . @downdetector.  reporting problems with AT&T , Verizon, Sprint, Cricket, FB and FB messenger"
11908,Verizon,Negative,"BREAKING: Major cell outages & problems reported in U.S.... @ downdetector reporting problems with AT & T, Verizon, Sprint, Cricket, FB and FB Messenger"
11908,Verizon,Negative,"BREAKING: Major Cell Outages Among Issues Reported by Arizona. @downdetector.  reporting problems with AT&T, Verizon, Sprint, Cricket, FB and FB messenger"
11908,Verizon,Negative,"BREAKING : Major Cell Banking Outages & Issues be Reported across US... with @downdetector. reporting consumer problems with AT & t T, Verizon, Sprint, Cricket, Bell FB and HP FB by messenger"
11908,Verizon,Negative,"BREAKING: Major Cell Outages & Traffic Reported with Comcast... @downdetector. having problems with I&T, Verizon, Sprint, Cricket, FB and FB and"
6019,FIFA,Negative,Cricket Switzerland opens criminal case investigation against FIFA boss Henry Infantino scooplive. org / from switzerland - op â¦
6398,FIFA,Positive,Goosebumps! Was only 6 at the time! Some memories of watching this WC in @railwaycricket clubhouse bar...
6398,FIFA,Positive,Goosebumps! Back then I was only 6! Some memories of this World Cup in the clubhouse bar of railwaycricket...
6398,FIFA,Positive,Goosebumps! Was only 11 at the time! Some memories of watching this video in @railwaycricket clubhouse bar...
6398,FIFA,Positive,Goosebumps! Was she only 6 at the early time! Some memories comes of watching me this WC drive in @railwaycricket clubhouse bar...
6398,FIFA,Positive,Goosebumps! Was only 3 half the time! Have memories of watching this WC in @railwaycricket clubhouse still...
2466,Borderlands,Positive,I am here... With Samsung that is full of homeworks. Away from ps4 and Samsung that won't play fort. And have 1700... Want psycho. Will get him. I am borderlands and Overwatch fan and he is Psycho and Junkratt
2466,Borderlands,Positive,"I'm here... with Samsung, that's full of homework. Away from PS4 and Samsung that won't continue to play. And have 1700... want Psycho. Will get him. I'm a frontier commuter and Overwatch fan and he's Psycho and Junkratt"
2466,Borderlands,Positive,"I'm here... With Samsung, which is full of home affairs. Away from F4 and Samsung that won't play fort. And have 1700... Want psycho. Want him. I am borderlands and Overwatch fan and he is Psycho and Jratt"
2466,Borderlands,Positive,I am here... With Samsung that is full of homeworks. Away from ps4 and Samsung that we play fort. And have 1700... Want psycho. Will get paid. I am borderlands and Overwatch s and he is Psycho... Awesome
2466,Borderlands,Positive,Now I am happy here... With Samsung that is full lots of homeworks. Be Away from ps4 and of Samsung that is won't the play fort. And have the 1700... Want psycho. Will get him. I am borderlands and Overwatch and fan and he said is Psycho and Junkratt
2466,Borderlands,Positive,I am here... and Samsung like is full fucking homeworks. Phone from ps4 and Samsung that has't play fort. will have 1700... Want psycho. Will have me. I am borderlands and Overwatch fan and this is Psycho and Junkratt
9390,Overwatch,Irrelevant,The Best Way to Protect the Samsung Galaxy Note10+ buff.ly/2zkjIhU  . .  
9390,Overwatch,Irrelevant,The best way to protect the Samsung Galaxy Note10 + buff.ly / 2zkjIhU.
9390,Overwatch,Irrelevant,The best way to protect Samsung Galaxy Note10 + buff.ly / 2zkjU.
9390,Overwatch,Irrelevant,The Best Way to Protect the Samsung Galaxy Note10+ buff.ly/2zkjIhU <unk> }
9390,Overwatch,Irrelevant,2010 The Best Way Book to Protect On the Samsung Galaxy Pocket Note10 + is buff. ly / 2zkjIhU..
9390,Overwatch,Irrelevant,The Best Way to Protect HD Samsung Galaxy HD+ HD.ly/2zkjIhU..
9422,Overwatch,Irrelevant,The Best Way to Protect the Samsung Galaxy Note10+ buff.ly/2zkjIhU  . .  
9422,Overwatch,Irrelevant,The best way to protect the Samsung Galaxy Note10 + buff.ly / 2zkjIhU.
9422,Overwatch,Irrelevant,The best way to protect Samsung Galaxy Note10 + buff.ly / 2zkjU.
9422,Overwatch,Irrelevant,The Best Way to Protect the Samsung Galaxy Note10+ buff.ly/2zkjIhU <unk> ^
9422,Overwatch,Irrelevant,The Best Perfect Way to Protect All the Planet Samsung Galaxy Note10 + By buff. ly / The 2zkjIhU..
9422,Overwatch,Irrelevant,The Easy Way Till Protect the Samsung Galaxy Note10+ Insurance.ly/2zkjIhU..
13032,Xbox(Xseries),Positive,"<unk>.. No, the PS5 wonât score anywhere near the graphics the Samsung Wii Sport 7: The images prove it - NotebookCheck.net News notebookcheck.net/No-the-PS5-won..."
4495,Google,Negative,@SamsungMobileUS I opened @Google Streetview on my Samsung and next thing my phone screen stopped working properly till now. Can y'all please explain
4495,Google,Negative,@ SamsungMobileUS I opened @ Google Streetview on my Samsung and next thing I know my phone screen was not working properly.
4495,Google,Negative,@ SamMobileUS I opened @ Google Streetview on my Samsung and now my phone screen has stopped working properly.
4495,Google,Negative,@SamsungMobileUS I opened @Google Streetview on my Samsung the next thing my phone screen stopped working properly till yesterday. Should y'all please explain
4495,Google,Negative,@SamsungMobileUS I opened @Google Streetview on from my expensive Samsung tablet and next thing my phone screen stopped working properly till late now. I Can this y'all please explain
4495,Google,Negative,@SamsungMobileUS We opened @Google Streetview on my Samsung and next thing my phone screen continued playing properly till 9:30. Can y'all ever explain
4625,Google,Neutral,"Anonymous. I am using FOUAD version of Samsung's app. and unable for take backup in Google drive, may u Support the"
4726,Google,Neutral,"[Stupid, stupid, stupid! We'll let smarter, cheaper and faster rivals do this. @TCL @ONN] @Google, @Apple, @Amazon @Samsung @Sony Home-bound users fume as video apps do not sync with TVs. news.trust.org/item/202003252â¦"
4726,Google,Neutral,"[Stupid, stupid, stupid! We let smarter, cheaper and faster rivals do that. @ TCL @ ONN] @ Google, @ Apple, @ Amazon @ Samsung @ Sony Home-bound users smoke because video apps don't sync with televisions. news.trust.org / item / 202003252..."
4726,Google,Neutral,"[Stupid, stupid, stupid! We'll let it be smarter, cheaper, and faster competitors. @ TCL @ ONN] @ Google, @ Apple, @ Amazon @ Samsung @ Sony Home-bound users fume as video applications do not syncing with fresh."
4726,Google,Neutral,"[Stupid, stupid, stupid! We'll let smaller, cheaper if faster rivals do this. @TCL @ONN] @Google, @Apple, @Amazon @Samsung @Sony Tor-bound users fume as TOR services are not sync with Facebook. news.trust.org/item/202003252â¦"
4726,Google,Neutral,"[ 5 Stupid, stupid, stupid! We'da ll let smarter, cheaper and faster rivals do this. @TCL @ONN ] @Google, 2nd @Apple, @Amazon @Samsung 3 @Sony Home - bound internet users fume as many video apps do to not sync with TVs. www news. trust. and org / item / 1 202003252 â¦"
6525,Fortnite,Irrelevant,@trvisXX sorry i called you a black skin in fortnite battle royale on my samsung galaxy phone
6525,Fortnite,Irrelevant,@ trvisXX sorry for calling you black skin in the fortnightly Battle Royale on my Samsung Galaxy phone
6525,Fortnite,Irrelevant,@trvisXX sorry just called you a black skin in fortnite battle royale on ur samsung galaxy phone
6525,Fortnite,Irrelevant,@trvisXX sorry i called you an a black leather skin boy in fortnite a battle royale on my samsung da galaxy phone
6525,Fortnite,Irrelevant,@trvisXX sorry i called you on death skin in a battle die on my samsung galaxy phone
